,SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAYS_DIFFERENCE,DAILY_CONSO,NB_OF_INVOICES
0,12345_GEO ,01/01/2018,31/01/2018,2447,"316,46",30,81.56666666666666,35
1,12345_GEO ,01/02/2018,28/02/2018,2211,"286,82",27,81.88888888888889,35
2,12345_GEO ,01/03/2018,31/03/2018,2450,"317,32",30,81.66666666666667,35
3,12345_GEO ,01/04/2018,30/04/2018,2431,"315,00",29,83.82758620689656,35
4,12345_GEO ,01/05/2018,31/05/2018,2574,"333,37",30,85.8,35
5,12345_GEO ,01/06/2018,30/06/2018,2830,"365,27",29,97.58620689655173,35
6,12345_GEO ,01/07/2018,31/07/2018,3028,"390,39",30,100.93333333333334,35
7,12345_GEO ,01/08/2018,31/08/2018,3053,"393,99",30,101.76666666666667,35
8,12345_GEO ,01/09/2018,30/09/2018,2915,"378,35",29,100.51724137931035,35
9,12345_GEO ,01/10/2018,31/10/2018,2986,"387,05",30,99.53333333333333,35
10,12345_GEO ,01/11/2018,30/11/2018,2871,"372,47",29,99.0,35
11,12345_GEO ,01/12/2018,31/12/2018,3086,"399,30",30,102.86666666666666,35
12,12345_GEO ,01/01/2019,31/01/2019,3094,"381,40",30,103.13333333333334,35
13,12345_GEO ,01/02/2019,28/02/2019,2767,"345,87",27,102.48148148148148,35
14,12345_GEO ,01/03/2019,31/03/2019,3059,"378,18",30,101.96666666666667,35
15,12345_GEO ,01/04/2019,30/04/2019,2761,"340,84",29,95.20689655172414,35
16,12345_GEO ,01/05/2019,31/05/2019,2844,"349,26",30,94.8,35
17,12345_GEO ,01/06/2019,30/06/2019,3009,"369,19",29,103.75862068965517,35
18,12345_GEO ,01/07/2019,31/07/2019,3016,"371,20",30,100.53333333333333,35
19,12345_GEO ,01/08/2019,31/08/2019,3089,"380,42",30,102.96666666666667,35
20,12345_GEO ,01/09/2019,30/09/2019,2914,"361,36",29,100.48275862068965,35
21,12345_GEO ,01/10/2019,31/10/2019,2963,"366,70",30,98.76666666666667,35
22,12345_GEO ,01/11/2019,30/11/2019,2797,"345,89",29,96.44827586206897,35
23,12345_GEO ,01/12/2019,31/12/2019,2859,"353,08",30,95.3,35
24,12345_GEO ,01/01/2020,31/01/2020,2863,"414,93",30,95.43333333333334,35
25,12345_GEO ,01/02/2020,29/02/2020,2663,"387,22",28,95.10714285714286,35
26,12345_GEO ,01/03/2020,31/03/2020,2759,"403,25",30,91.96666666666667,35
27,12345_GEO ,01/04/2020,30/04/2020,2680,"390,79",29,92.41379310344827,35
