SITE_NAME,DAILY_CONSO
12345_GEO ,6.607%
12346_GEO ,5.049%
12347_GEO ,10.447%
12348_GEO ,6.684%
12349_GEO ,8.402%
12350_GEO ,6.963%
12351_GEO ,9.661%
12352_GEO ,5.673%
12353_GEO ,8.532%
12354_GEO ,21.610%
12355_GEO ,7.154%
12357_GEO ,7.849%
12360_GEO ,7.863%
12362_GEO ,10.602%
12365_GEO ,6.231%
12367_GEO ,18.990%
12368_GEO ,15.520%
12371_GEO ,3.727%
12372_GEO ,4.444%
12374_GEO ,6.203%
12375_GEO ,6.799%
12376_GEO ,5.571%
12378_GEO ,6.648%
12379_GEO ,7.062%
12380_GEO ,6.237%
12381_GEO ,6.205%
12382_GEO ,12.086%
12387_GEO ,6.678%
12390_GEO ,8.277%
12391_GEO ,8.279%
12392_GEO ,9.311%
12393_GEO ,4.145%
12394_GEO ,8.289%
12396_GEO ,9.035%
12399_GEO ,3.565%
12401_GEO ,8.737%
12402_GEO ,6.345%
12403_GEO ,2.570%
12404_GEO ,13.800%
12405_GEO ,16.251%
12407_GEO ,12.103%
12409_GEO ,10.535%
12410_GEO ,6.439%
12411_GEO ,12.303%
12413_GEO ,15.113%
12414_GEO ,5.557%
12415_GEO ,9.289%
12416_GEO ,6.357%
12417_GEO ,6.309%
12419_GEO ,4.612%
12420_GEO ,14.420%
12421_GEO ,2.465%
12422_GEO ,9.027%
12423_GEO ,5.801%
12425_GEO ,1.924%
12426_GEO ,12.586%
12427_GEO ,6.619%
12428_GEO ,7.269%
12429_GEO ,8.515%
12430_GEO ,11.077%
12431_GEO ,7.557%
12432_GEO ,8.015%
12434_GEO ,13.284%
12435_GEO ,3.923%
12437_GEO ,3.502%
12438_GEO ,13.745%
12439_GEO ,7.599%
12440_GEO ,5.648%
12441_GEO ,3.967%
12444_GEO ,11.342%
12445_GEO ,9.208%
12446_GEO ,7.673%
12450_GEO ,7.755%
12451_GEO ,11.599%
12453_GEO ,16.666%
12455_GEO ,9.729%
12456_GEO ,6.903%
12457_GEO ,6.366%
12458_GEO ,9.651%
12459_GEO ,6.735%
12461_GEO ,9.466%
12463_GEO ,28.410%
12464_GEO ,6.821%
12465_GEO ,4.845%
12466_GEO ,15.347%
12471_GEO ,7.587%
12473_GEO ,9.972%
12474_GEO ,8.932%
12477_GEO ,14.783%
12478_GEO ,11.672%
12479_GEO ,10.249%
12481_GEO ,22.531%
12483_GEO ,5.806%
12486_GEO ,8.246%
12487_GEO ,16.867%
12494_GEO ,7.835%
12496_GEO ,3.623%
12497_GEO ,56.255%
12498_GEO ,4.141%
12499_GEO ,28.936%
12500_GEO ,7.147%
12501_GEO ,5.228%
12502_GEO ,0.836%
12504_GEO ,10.353%
12506_GEO ,11.507%
12508_GEO ,5.618%
12509_GEO ,8.172%
12514_GEO ,6.369%
12516_GEO ,11.762%
12517_GEO ,1.127%
12520_GEO ,5.289%
12521_GEO ,3.276%
12522_GEO ,11.813%
12523_GEO ,0.694%
12528_GEO ,12.739%
12530_GEO ,4.798%
12531_GEO ,10.640%
12532_GEO ,21.057%
12535_GEO ,11.870%
12536_GEO ,16.711%
12537_GEO ,1.969%
12540_GEO ,7.459%
12541_GEO ,6.384%
12543_GEO ,21.809%
12544_GEO ,4.934%
12545_GEO ,4.170%
12546_GEO ,12.387%
12547_GEO ,11.869%
12548_GEO ,0.973%
12549_GEO ,9.142%
12550_GEO ,15.527%
12551_GEO ,23.878%
12552_GEO ,4.486%
12553_GEO ,6.828%
12555_GEO ,29.369%
12556_GEO ,9.347%
12558_GEO ,7.927%
12560_GEO ,7.147%
12561_GEO ,7.171%
12562_GEO ,7.918%
12563_GEO ,7.112%
12564_GEO ,11.811%
12566_GEO ,10.285%
12568_GEO ,8.045%
12569_GEO ,101.218%
12570_GEO ,5.643%
12571_GEO ,3.697%
12572_GEO ,6.800%
12573_GEO ,6.540%
12575_GEO ,36.613%
12576_GEO ,14.420%
12577_GEO ,7.106%
12579_GEO ,13.251%
12580_GEO ,4.641%
12581_GEO ,6.060%
12582_GEO ,3.019%
12583_GEO ,6.765%
12584_GEO ,1.411%
12585_GEO ,10.146%
12586_GEO ,3.117%
12587_GEO ,4.053%
12589_GEO ,10.446%
12590_GEO ,8.570%
12591_GEO ,2.773%
12592_GEO ,10.170%
12593_GEO ,1.868%
12594_GEO ,3.766%
12596_GEO ,6.380%
12597_GEO ,16.378%
12599_GEO ,4.511%
12600_GEO ,4.706%
12601_GEO ,1.406%
12602_GEO ,14.481%
12603_GEO ,1.112%
12604_GEO ,22.776%
12605_GEO ,3.819%
12606_GEO ,1.411%
12607_GEO ,16.871%
12609_GEO ,4.332%
12611_GEO ,5.016%
12612_GEO ,25.083%
12613_GEO ,28.358%
12614_GEO ,2.679%
12615_GEO ,7.124%
12616_GEO ,12.670%
12618_GEO ,8.008%
12620_GEO ,16.924%
12624_GEO ,13.981%
12625_GEO ,2.636%
12626_GEO ,16.496%
12627_GEO ,49.728%
12628_GEO ,0.000%
12630_GEO ,6.242%
12633_GEO ,0.752%
12635_GEO ,26.903%
12636_GEO ,7.603%
12638_GEO ,8.485%
12639_GEO ,10.034%
12641_GEO ,4.690%
12645_GEO ,8.111%
12646_GEO ,9.300%
12647_GEO ,1.991%
12649_GEO ,11.349%
12651_GEO ,5.626%
12652_GEO ,10.258%
